"","ratio_bill_lengthdepth","flipper_length_catagorised","body_mass_catagorised","sex","species","location"
"1","1.95530726256983","small","below","female","Adelie","Biscoe"
"2","2.05","large","above","male","Adelie","Biscoe"
"3","2.35625","small","below","female","Adelie","Biscoe"
"4","1.89","small","above","male","Adelie","Biscoe"
"5","2.03763440860215","small","below","female","Adelie","Biscoe"
"6","2.1005291005291","small","below","male","Adelie","Biscoe"
"7","2.24418604651163","small","below","female","Adelie","Biscoe"
"8","1.91","small","below","male","Adelie","Biscoe"
"9","2.24117647058824","small","below","female","Adelie","Biscoe"
"10","2.27368421052632","small","above","male","Adelie","Biscoe"
"11","2.30909090909091","small","below","female","Adelie","Biscoe"
"12","2.24630541871921","small","above","male","Adelie","Biscoe"
"13","2.24293785310734","small","below","female","Adelie","Biscoe"
"14","2.16410256410256","small","above","male","Adelie","Biscoe"
"15","1.91304347826087","small","below","female","Adelie","Biscoe"
"16","2.33333333333333","small","above","male","Adelie","Biscoe"
"17","2.27058823529412","small","below","female","Adelie","Torgersen"
"18","1.81951219512195","small","below","male","Adelie","Torgersen"
"19","2.1","small","below","female","Adelie","Torgersen"
"20","2.20967741935484","small","below","male","Adelie","Torgersen"
"21","2.1046511627907","small","below","female","Adelie","Torgersen"
"22","1.9040404040404","small","below","male","Adelie","Torgersen"
"23","2.36470588235294","small","below","female","Adelie","Torgersen"
"24","2.23783783783784","large","below","male","Adelie","Torgersen"
"25","2.21383647798742","small","below","female","Adelie","Torgersen"
"26","2.13684210526316","small","equal","male","Adelie","Torgersen"
"27","2.20454545454545","small","below","female","Adelie","Torgersen"
"28","2.26775956284153","small","above","male","Adelie","Torgersen"
"29","2.28070175438596","small","below","female","Adelie","Torgersen"
"30","2.45","large","equal","male","Adelie","Torgersen"
"31","2.15083798882682","small","below","female","Adelie","Torgersen"
"32","2.24479166666667","small","below","male","Adelie","Torgersen"
"33","1.98918918918919","small","below","female","Adelie","Dream"
"34","2.02702702702703","small","above","male","Adelie","Dream"
"35","2.16477272727273","small","below","female","Adelie","Dream"
"36","2.34857142857143","small","below","male","Adelie","Dream"
"37","2.03428571428571","small","below","female","Adelie","Dream"
"38","2","small","below","male","Adelie","Dream"
"39","2.24242424242424","small","below","female","Adelie","Dream"
"40","2.21787709497207","small","above","male","Adelie","Dream"
"41","2.35087719298246","small","below","female","Adelie","Dream"
"42","2.36046511627907","small","below","male","Adelie","Dream"
"43","2.07096774193548","small","below","female","Adelie","Dream"
"44","2.39411764705882","small","below","male","Adelie","Dream"
"45","2.22023809523809","small","below","female","Adelie","Dream"
"46","2.0855614973262","small","below","male","Adelie","Dream"
"47","2.10752688172043","small","above","male","Adelie","Dream"
"48","1.98913043478261","small","below","female","Adelie","Dream"
"49","2.02247191011236","small","below","female","Adelie","Dream"
"50","2.08839779005525","small","below","male","Adelie","Dream"
"51","2.10526315789474","small","below","female","Adelie","Dream"
"52","2.24324324324324","large","equal","male","Adelie","Dream"
"53","3.38620689655172","large","above","female","Gentoo","Biscoe"
"54","3.36538461538462","large","above","male","Gentoo","Biscoe"
"55","3.24657534246575","large","above","female","Gentoo","Biscoe"
"56","3.14465408805031","large","above","male","Gentoo","Biscoe"
"57","3.2536231884058","large","above","female","Gentoo","Biscoe"
"58","2.9364161849711","large","above","male","Gentoo","Biscoe"
"59","3.01388888888889","large","above","female","Gentoo","Biscoe"
"60","3.61267605633803","large","above","male","Gentoo","Biscoe"
"61","3.39285714285714","large","above","female","Gentoo","Biscoe"
"62","3.06470588235294","large","above","male","Gentoo","Biscoe"
"63","3.16666666666667","large","above","female","Gentoo","Biscoe"
"64","3.05263157894737","large","above","male","Gentoo","Biscoe"
"65","3.13793103448276","large","above","female","Gentoo","Biscoe"
"66","3.07453416149068","large","above","male","Gentoo","Biscoe"
"67","3.02721088435374","large","above","female","Gentoo","Biscoe"
"68","3.23566878980892","large","above","male","Gentoo","Biscoe"
"69","3.12658227848101","large","above","male","Gentoo","Biscoe"
"70","3.21232876712329","large","above","female","Gentoo","Biscoe"
"71","3.36111111111111","large","above","female","Gentoo","Biscoe"
"72","3.0969696969697","large","above","male","Gentoo","Biscoe"
"73","3.23333333333333","large","above","female","Gentoo","Biscoe"
"74","3.28823529411765","large","above","male","Gentoo","Biscoe"
"75","3.04516129032258","large","above","female","Gentoo","Biscoe"
"76","3.27333333333333","large","above","male","Gentoo","Biscoe"
"77","2.90683229813665","large","above","male","Gentoo","Biscoe"
"78","2.83673469387755","large","above","female","Gentoo","Biscoe"
"79","3.37974683544304","large","above","male","Gentoo","Biscoe"
"80","3.09285714285714","large","above","female","Gentoo","Biscoe"
"81","3.18543046357616","large","above","male","Gentoo","Biscoe"
"82","3.32236842105263","large","above","female","Gentoo","Biscoe"
"83","3.13207547169811","large","above","male","Gentoo","Biscoe"
"84","2.86184210526316","large","above","female","Gentoo","Biscoe"
"85","3.15950920245399","large","above","male","Gentoo","Biscoe"
"86","3.27659574468085","large","above","female","Gentoo","Biscoe"
"87","3.44375","large","above","male","Gentoo","Biscoe"
"88","3.01234567901235","large","above","male","Gentoo","Biscoe"
"89","3.44525547445255","large","above","female","Gentoo","Biscoe"
"90","3.27272727272727","large","above","female","Gentoo","Biscoe"
"91","3.21019108280255","large","above","male","Gentoo","Biscoe"
"92","3.05405405405405","large","above","female","Gentoo","Biscoe"
"93","3.09937888198758","large","above","male","Gentoo","Biscoe"
"94","2.84357541899441","small","below","female","Chinstrap","Dream"
"95","2.74594594594595","large","above","male","Chinstrap","Dream"
"96","2.79888268156425","small","below","female","Chinstrap","Dream"
"97","2.5","large","above","male","Chinstrap","Dream"
"98","2.75401069518717","small","below","male","Chinstrap","Dream"
"99","2.87861271676301","small","below","female","Chinstrap","Dream"
"100","2.93292682926829","small","below","female","Chinstrap","Dream"
"101","2.70526315789474","large","below","male","Chinstrap","Dream"
"102","2.64161849710983","small","below","female","Chinstrap","Dream"
"103","2.57360406091371","large","above","male","Chinstrap","Dream"
"104","2.45664739884393","small","below","female","Chinstrap","Dream"
"105","2.77659574468085","small","below","male","Chinstrap","Dream"
"106","2.72289156626506","small","below","female","Chinstrap","Dream"
"107","2.47738693467337","large","above","male","Chinstrap","Dream"
"108","2.67021276595745","large","below","male","Chinstrap","Dream"
"109","2.35051546391753","small","below","female","Chinstrap","Dream"
"110","2.66153846153846","large","below","male","Chinstrap","Dream"
"111","2.83636363636364","small","below","female","Chinstrap","Dream"
"112","2.68823529411765","small","below","female","Chinstrap","Dream"
"113","2.81818181818182","large","equal","male","Chinstrap","Dream"
"114","2.40331491712707","large","below","female","Chinstrap","Dream"
"115","2.72527472527473","small","below","male","Chinstrap","Dream"
"116","2.67368421052632","large","above","male","Chinstrap","Dream"
"117","2.68449197860963","small","below","female","Chinstrap","Dream"
